Database,Version,Table,Year,Flow,Satellite account,Unit,Region,Sector,Item,Value
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,COL,Sector,"Electricity, Gas and Water",0.11247206200671078
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,COG,Sector,"Electricity, Gas and Water",0.9275720396232775
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,CRI,Sector,"Electricity, Gas and Water",0.43120119034251764
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,HRV,Sector,"Electricity, Gas and Water",0.22379555696780978
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,CUB,Sector,"Electricity, Gas and Water",0.3942846777562048
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,CYP,Sector,"Electricity, Gas and Water",0.909614087749933
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,CZE,Sector,"Electricity, Gas and Water",0.07393609035829826
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,CIV,Sector,"Electricity, Gas and Water",0.34283779718810015
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,PRK,Sector,"Electricity, Gas and Water",0.3493680062917459
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,COD,Sector,"Electricity, Gas and Water",0.1917119425073156
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,DNK,Sector,"Electricity, Gas and Water",0.3300551463818045
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,DJI,Sector,"Electricity, Gas and Water",5.880052433197027
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,DOM,Sector,"Electricity, Gas and Water",0.251565839272583
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,ECU,Sector,"Electricity, Gas and Water",0.25296633155131143
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,EGY,Sector,"Electricity, Gas and Water",0.04721535042313064
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,SLV,Sector,"Electricity, Gas and Water",0.8086099958510966
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,ERI,Sector,"Electricity, Gas and Water",6.178887050437837
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,EST,Sector,"Electricity, Gas and Water",0.7280858589830387
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,ETH,Sector,"Electricity, Gas and Water",154.06858755889863
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,FJI,Sector,"Electricity, Gas and Water",4.625797097305435
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,FIN,Sector,"Electricity, Gas and Water",0.16777072747072908
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,FRA,Sector,"Electricity, Gas and Water",0.01577119555789458
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,PYF,Sector,"Electricity, Gas and Water",3.412978517586314
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,GAB,Sector,"Electricity, Gas and Water",0.565210405557592
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,GMB,Sector,"Electricity, Gas and Water",14.782542214139513
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,GEO,Sector,"Electricity, Gas and Water",1.3240931028304828
EORA26,199.82,IOT,2017,Intensity,GHG,Gg CO2eq/M EUR,DEU,Sector,"Electricity, Gas and Water",0.016207114103912793
