Database,Version,Table,Year,Flow,Satellite account,Unit,Region,Sector,Item,System,Level,Value
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,COL,Sector,electricity,,,1.0151229593967457
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,COM,Sector,electricity,,,41.64940001594649
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,CPV,Sector,electricity,,,7.294417520167913
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,CRI,Sector,electricity,,,0.02433304267134495
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,CUB,Sector,electricity,,,0.13588456972373086
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,CXR,Sector,electricity,,,2.71955972338361
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,CYM,Sector,electricity,,,0.8479014506026289
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,CYP,Sector,electricity,,,3.2016338554753583
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,CZE,Sector,electricity,,,2.451130542008495
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,DEU,Sector,electricity,,,3.793174998648803
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,DJI,Sector,electricity,,,165.22066139363292
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,DMA,Sector,electricity,,,1.1062876557414445
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,DNK,Sector,electricity,,,0.7023538343495136
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,DOM,Sector,electricity,,,3.4498290192634684
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,DZA,Sector,electricity,,,10.22847173505286
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,ECU,Sector,electricity,,,0.8982330610208402
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,EGY,Sector,electricity,,,15.860898736339182
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,ERI,Sector,electricity,,,0.4054034278404066
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,ESH,Sector,electricity,,,10.353408105138369
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,ESP,Sector,electricity,,,0.5040311984080635
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,EST,Sector,electricity,,,10.471902716425742
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,TWN,Sector,electricity,,,0.0
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,ETH,Sector,electricity,,,0.0
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,LIE,Sector,electricity,,,3.7545767133673746
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,FIN,Sector,electricity,,,1.8512711974922282
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,FJI,Sector,electricity,,,0.5516631774559613
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,FLK,Sector,electricity,,,0.7882175809572833
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,FRA,Sector,electricity,,,0.3224629634709952
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,FRO,Sector,electricity,,,47.1667233554241
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,FSM,Sector,electricity,,,0.7004184650621499
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,GAB,Sector,electricity,,,102.44686582344615
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,GBR,Sector,electricity,,,0.47397019316060274
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,GEO,Sector,electricity,,,2.268808720170036
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,GHA,Sector,electricity,,,7.70868461629923
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,GIB,Sector,electricity,,,0.024204603688757938
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,GIN,Sector,electricity,,,213.2638631765147
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,GLP,Sector,electricity,,,0.0
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,GMB,Sector,electricity,,,18.67589139132011
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,GNB,Sector,electricity,,,21.40314900564307
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,GNQ,Sector,electricity,,,79.17089546681967
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,GRC,Sector,electricity,,,4.225512737150058
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,GRD,Sector,electricity,,,2.331721339912861
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,GRL,Sector,electricity,,,0.9401315465564061
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,GTM,Sector,electricity,,,2.8611899582008675
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,GUM,Sector,electricity,,,1.6397532882542631
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,GUF,Sector,electricity,,,0.0
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,GUY,Sector,electricity,,,137.84522979477308
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,HKG,Sector,electricity,,,121.43218485471405
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,HMD,Sector,electricity,,,0.5831436866269306
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,HND,Sector,electricity,,,4.851281839913195
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,HRV,Sector,electricity,,,0.7125223767995122
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,HTI,Sector,electricity,,,1.416750132578586
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,HUN,Sector,electricity,,,1.5244113605571163
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,IDN,Sector,electricity,,,6.746185110094844
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,IND,Sector,electricity,,,12.82858162332912
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,IOT,Sector,electricity,,,15.405334451489098
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,IRL,Sector,electricity,,,1.5583894622314576
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,IRN,Sector,electricity,,,14.444298778433879
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,IRQ,Sector,electricity,,,54.257682546591354
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,ISL,Sector,electricity,,,0.01089461547527588
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,ISR,Sector,electricity,,,4.6820130562388895
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,ITA,Sector,electricity,,,0.850231645940378
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,JAM,Sector,electricity,,,6.01493416152599
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,JOR,Sector,electricity,,,5.199710125327609
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,JPN,Sector,electricity,,,1.0958453416240497
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,KAZ,Sector,electricity,,,18.254802108426198
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,KEN,Sector,electricity,,,0.6608137211918362
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,KGZ,Sector,electricity,,,5.528633172948248
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,KHM,Sector,electricity,,,24.830538605461957
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,KIR,Sector,electricity,,,0.930725752232418
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,KNA,Sector,electricity,,,0.8531744106889868
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,KOR,Sector,electricity,,,3.261887074631857
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,KWT,Sector,electricity,,,10.177569465449833
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,LAO,Sector,electricity,,,18.6231391670842
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,LBN,Sector,electricity,,,11.773841697936412
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,LBR,Sector,electricity,,,1.3273289143381464
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,LBY,Sector,electricity,,,261.7928664764243
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,LCA,Sector,electricity,,,0.3799682187116448
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,LKA,Sector,electricity,,,1.2580554714947698
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,LSO,Sector,electricity,,,141.6423167514232
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,LTU,Sector,electricity,,,0.1016964879593329
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,LUX,Sector,electricity,,,5.522146076591601
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,LVA,Sector,electricity,,,0.5552062845530698
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,MAC,Sector,electricity,,,0.6760227127368308
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,MAR,Sector,electricity,,,0.0
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,MCO,Sector,electricity,,,3.3210626429779273
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,MDA,Sector,electricity,,,1.3473260356524739
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,MDG,Sector,electricity,,,131.16147789781223
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,MDV,Sector,electricity,,,1.3794453032360177
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,MEX,Sector,electricity,,,5.921348810568506
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,MHL,Sector,electricity,,,1.581272918162501
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,MKD,Sector,electricity,,,13.041911177057559
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,MLI,Sector,electricity,,,373.99791812377083
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,MLT,Sector,electricity,,,3.1162527871821037
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,MMR,Sector,electricity,,,11.07802317749225
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,MNG,Sector,electricity,,,18.860267053195376
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,MNP,Sector,electricity,,,1.2290532071848732
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,MNE,Sector,electricity,,,4.250463838339572
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,MOZ,Sector,electricity,,,4.198937297265447
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,MRT,Sector,electricity,,,3.3204090940847006
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,MSR,Sector,electricity,,,0.19355714351076847
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,MTQ,Sector,electricity,,,0.0
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,MUS,Sector,electricity,,,8.2128656356374
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,MWI,Sector,electricity,,,22.621013793875786
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,MYS,Sector,electricity,,,8.508136439633821
EMERGING,1.0,IOT,2017,Intensity,GHG,kg/EUR,MYT,Sector,electricity,,,0.0
